,City_Name,Country_Code,Latitude,Longititude,Temprature,Humidity,cloudiness,wind_speed
0,saint-philippe,re,-56.22153001922606,66.7356279766833,76.82,65,20,23.04
1,dukuhturi,id,-6.8360016379246815,108.84720423122047,87.12,64,69,6.13
2,nuuk,gl,65.34008001362284,-50.845383228477345,30.09,86,89,4.7
3,new norfolk,au,-67.25257319447704,128.16885850719575,57.18,63,40,11.41
4,hermanus,za,-82.30995769909745,9.655244554113267,63.0,76,2,8.01
5,victoria,sc,-8.394097275574651,63.90948606865527,86.0,74,40,11.41
6,hilo,us,9.694529600912517,-141.24868085057696,71.8,78,1,2.66
7,khatanga,ru,80.36711057554072,107.01575710765678,13.53,95,84,10.98
8,rikitea,pf,-64.91152948027515,-119.55865893009256,74.07,73,81,2.55
9,ushuaia,ar,-81.08053084220889,-65.61034551630745,46.4,61,75,3.36
10,lagoa,pt,46.23287511232621,-33.66970517312228,62.56,70,81,13.91
11,vila velha,br,-28.50269525812824,-24.874407900334347,73.18,94,90,2.24
12,iwanai,jp,43.01826319853339,139.3637650580751,62.91,69,33,7.76
13,alofi,nu,-25.02075170256751,-169.51665413607833,75.2,94,92,14.99
14,tuktoyaktuk,ca,86.9714161291511,-136.23754567420062,19.4,85,90,11.41
15,cape town,za,-59.04552315438893,-4.950902116101645,63.3,77,0,9.17
16,georgetown,sh,-19.17719053925819,-22.878274434734692,73.17,82,99,14.97
17,brae,gb,67.54000169371699,-1.3784017519346037,44.6,70,75,17.22
18,shimoda,jp,28.21045552211652,140.75239129623623,66.85,73,75,11.41
19,cabo san lucas,mx,10.817547438636765,-123.96291875682306,80.51,71,0,9.78
20,narsaq,gl,74.76364910593799,-66.86179069729081,26.6,68,70,3.36
21,port alfred,za,-89.74533709943208,43.93957018445926,69.35,64,0,7.07
22,nouakchott,mr,18.136346605060865,-18.151784439052392,75.2,73,0,14.99
23,atuona,pf,1.127785775706684,-143.43579702688544,77.9,74,4,15.55
24,palekh,ru,56.800803701355335,41.91601862458364,33.37,94,51,3.24
25,christchurch,nz,-49.582339497250175,178.75105699007804,53.46,81,78,12.75
26,tiksi,ru,85.43637173619504,132.80839355907023,12.94,94,100,5.61
27,idritsa,ru,56.107509321707965,28.9079754720878,45.63,94,100,10.69
28,moyale,et,4.29295316762699,39.114105256097076,71.04,76,93,12.48
29,rabo de peixe,pt,45.86932655359237,-21.049214173239562,59.0,77,40,9.17
30,kazachinskoye,ru,57.5907059484843,93.70025739956327,51.71,58,99,6.31
31,gamba,ga,-5.352698460495276,5.399016907088054,75.04,93,100,6.51
32,avarua,ck,-43.83427974677298,-166.80542555833082,75.2,83,100,6.93
33,hobart,au,-50.8185233493274,146.9454544512559,57.04,63,40,11.41
34,kapaa,us,24.75977917532491,-173.2931712042293,73.87,78,75,4.7
35,saint george,bm,30.17331747237496,-51.99488976317875,77.99,83,75,24.16
36,iqaluit,ca,64.75284627718702,-67.60115185275515,32.0,93,90,2.37
37,arlit,ne,22.468354760507694,5.068182114255734,81.93,15,0,5.84
38,ribeira grande,pt,28.87280380504906,-33.658343310236916,63.72,66,93,14.88
39,thompson,ca,62.11375233936235,-94.06532236090558,23.0,92,90,3.36
40,charlottetown,ca,46.76351347579333,-62.99514753962738,61.14,93,90,16.11
41,mar del plata,ar,-56.715358070446484,-34.45292166257542,54.0,69,70,15.99
42,vaini,to,-86.08547148964904,-169.83606100548354,73.4,78,90,8.05
43,sinnamary,gf,19.45622766955215,-43.66836957407344,79.14,84,45,9.13
44,teya,ru,60.07550402413443,89.94583401901667,43.65,71,100,9.06
45,uray,ru,60.668806125016545,64.59463736561338,30.16,97,91,5.68
46,arrifes,pt,38.16030835884311,-26.203057842948596,59.0,77,40,9.17
47,yeppoon,au,-20.433610227730355,154.72635269582946,84.2,51,40,10.29
48,nichinan,jp,31.19534338716143,132.5826188923832,75.2,88,75,4.7
49,port-gentil,ga,-4.299510288885159,2.3020188207388514,78.8,88,75,6.93
50,khrebtovaya,ru,56.138189548335646,104.70634403197971,39.94,76,86,9.19
51,sobolevo,ru,53.20732482711179,152.40666761433573,41.92,90,100,10.58
52,mahebourg,mu,-34.61114153329373,69.48185721752009,80.6,57,75,14.99
53,puerto ayora,ec,-24.153555261960804,-105.23900864061373,66.0,95,96,8.99
54,sault sainte marie,ca,47.27522809293521,-84.23141317122074,38.97,65,90,5.82
55,saskylakh,ru,84.32569771329315,112.80668391890242,6.3,94,8,7.23
56,punta arenas,cl,-80.26117666659776,-109.14035252503433,45.3,75,75,12.75
57,albany,au,-59.61510457198294,117.35837014020933,60.8,67,75,12.75
58,cidreira,br,-42.243774602016074,-36.74638187098347,65.34,88,100,17.96
59,kushima,jp,28.787938914194257,133.07718813878273,73.35,83,75,4.7
60,castro,cl,-43.10086810267622,-84.30542357966804,37.4,93,30,4.7
61,arraial do cabo,br,-36.269208666635606,-30.945845195906145,72.25,86,18,12.66
62,vestmanna,fo,68.23228779695822,-8.397352865655506,32.0,76,56,6.06
63,tasiilaq,gl,78.72375035193997,-35.34047190031748,30.2,86,100,1.12
64,ivanava,by,52.2209267744322,25.361738935826537,47.01,82,63,12.39
65,mecca,sa,23.67484624007865,41.93550482823491,93.56,10,0,8.05
66,khandyga,ru,64.42048897203244,138.64556167568344,21.81,95,100,5.01
67,bengkulu,id,-11.513358334696704,88.40493927983698,79.84,76,100,10.18
68,angoche,mz,-18.211483117151985,40.53193682780528,82.69,58,0,11.23
69,busselton,au,-76.82379802160342,76.22655551539174,69.57,30,7,9.95
70,conroe,us,30.336345329662876,-95.67726723518903,69.22,100,1,3.91
71,qaanaaq,gl,83.39494105671633,-81.83567979199655,20.23,88,98,7.02
72,palora,ec,-2.202822696678794,-76.04262923552461,64.65,95,100,2.46
73,petropavlovsk-kamchatskiy,ru,50.43733516446818,159.51147554241334,51.8,32,0,4.47
74,kodiak,us,53.948067995270804,-148.29796981038695,44.6,63,40,19.46
75,san jose,bo,-18.412748152050995,-61.23833283916221,73.4,88,40,2.24
76,beboto,td,8.138968267787419,16.43272242006867,73.38,83,95,3.33
77,san roque,ph,4.572646725811822,123.5803272490707,89.67,89,75,13.87
78,ponta do sol,cv,25.521027777059047,-33.72757505779458,78.8,78,20,5.82
79,westport,ie,55.444908369912014,-10.69144674851492,44.82,83,100,6.85
80,talnakh,ru,76.17500111109683,93.15791171774208,10.4,92,40,4.47
81,togur,ru,61.04866744223264,83.80262249223324,42.1,74,100,13.24
82,jamestown,sh,-12.617145634788727,2.9252516353800786,59.81,94,68,17.47
83,marshall,us,44.38520586489156,-95.52915791858274,63.82,93,1,4.7
84,east london,za,-59.95366339472457,46.20380045684854,69.8,68,0,11.41
85,sharjah,ae,24.821325201022063,56.56089126116669,85.39,35,0,2.24
86,kavieng,pg,11.307803178788348,151.5187502184483,84.38,68,51,7.16
87,tessalit,ml,22.315007364685215,3.8245914992187124,78.24,17,0,6.04
88,sao filipe,cv,11.574570332683848,-28.177169356105594,80.46,73,29,7.07
89,moroto,ug,2.5114970846358915,34.23642250279346,74.48,54,72,4.23
90,mackay,au,-18.499156454462067,153.3210675133887,86.0,45,11,13.87
91,arman,ru,55.713489623641266,148.03087670385509,32.95,87,92,7.52
92,san patricio,mx,-0.9542125653128721,-116.6759722952853,80.11,88,63,4.0
93,suhbaatar,mn,48.931828234795006,105.87695455009919,44.89,54,0,8.61
94,svetlyy,ru,48.74715977103722,62.14455697989317,52.43,81,67,11.18
95,salalah,om,17.01500713169449,53.54286344487832,86.0,70,20,4.7
96,dikson,ru,86.81906834282731,83.47853689650202,26.1,97,99,9.4
97,perevoz,ru,55.50648670144625,44.63655019416149,34.48,87,3,5.44
98,pisco,pe,-26.604791716341637,-95.16154704392004,62.33,82,30,9.17
99,havre-saint-pierre,ca,54.82465593127995,-62.26427976620907,37.4,100,90,11.41
100,wanning,cn,15.723735908906079,114.02269117764405,79.11,64,67,15.68
101,boa vista,br,4.362969549257556,-62.661745538714044,80.6,69,13,3.36
102,ogbomosho,ng,8.356756830827692,4.311046402447261,73.4,88,24,3.98
103,lodja,cd,-1.9567926018176394,22.800598092591372,74.03,87,45,1.7
104,kaitangata,nz,-75.52282999264301,176.25788941628724,53.01,80,97,4.0
105,khndzoresk,am,39.50907588323321,46.47873780009067,50.32,72,4,2.8
106,yellowknife,ca,86.02831885899673,-98.50821375374184,21.34,92,90,8.05
107,longyan,cn,25.43131407146707,116.8655989427458,75.0,59,98,4.0
108,qaqortoq,gl,66.10001714824287,-44.26194087319567,26.6,68,24,3.36
109,upernavik,gl,79.79075250734942,-58.59160604122415,23.76,96,78,2.89
110,hithadhoo,mv,-4.634875752871565,69.22664765737244,83.21,74,34,13.47
111,bluff,nz,-50.92280432088816,167.81477298923886,61.0,57,98,7.54
112,taoudenni,ml,24.560218229888733,-3.7740395751196445,72.93,21,4,2.01
113,nkhotakota,mw,-12.641448672891642,34.50420657037603,82.4,54,63,10.63
114,biak,id,-0.6684014011920709,138.09024147599388,84.18,64,85,2.68
115,kupino,ru,53.92833064797958,76.94438166845362,40.69,67,100,18.84
116,murgab,tm,37.27770007974888,62.72876394118859,57.2,44,0,6.93
117,vao,nc,-25.63125578757034,170.39825253963602,73.83,87,0,15.28
118,umuarama,br,-23.36547866266848,-53.21100644397919,71.46,71,3,10.42
119,wamba,cd,2.0056878057419,28.22678060752827,70.75,89,97,0.6
120,alvarado,mx,18.829781774389616,-95.71296048726829,75.99,71,83,1.01
121,port elizabeth,za,-86.13276076470717,32.14847431536228,66.2,68,0,3.36
122,ugoofaaru,mv,5.930033121740792,69.5074307243413,82.06,78,75,12.93
123,uglovskoye,ru,51.71181950160175,80.14432120475288,45.28,78,100,15.26
124,ewa beach,us,18.40062351466807,-159.11342845744497,74.79,94,90,4.7
125,barrow,us,79.35866277867635,-155.07573927711647,33.8,93,90,17.22
126,ardee,ie,53.891029173896186,-6.568999622524302,48.0,81,49,5.99
127,narwar,in,25.86013442860326,77.7375892785575,87.21,21,23,1.43
128,torbay,ca,45.75328557061988,-50.992386660896216,49.01,100,90,9.17
129,norman wells,ca,71.6846945221007,-118.93530983068062,21.2,85,90,10.29
130,ucluelet,ca,47.115698846330446,-126.51626750543906,36.43,95,8,1.01
131,jijiga,et,7.080067348048061,43.08063387439012,74.88,20,3,4.07
132,chokurdakh,ru,81.10019900360041,152.0484182192463,13.35,95,100,5.03
133,college,us,76.8174171469727,-145.9642546238582,23.67,85,90,3.36
134,butaritari,ki,2.8906929036388362,167.13414153997672,82.2,70,0,8.7
135,yar-sale,ru,77.08329173136804,70.58283514007377,17.26,96,93,13.56
136,melilla,es,35.7051933929809,-2.3134347145298193,67.82,83,97,3.36
137,palmer,us,60.07650215701679,-147.90851764426077,63.55,100,90,3.71
138,mackenzie,ca,54.88035654085735,-122.20144814233241,19.4,57,75,3.36
139,chebenki,ru,52.08163867455849,55.76802418427087,33.8,80,16,15.66
140,eregli,tr,37.35939242129946,34.399306302129446,61.7,46,0,0.18
141,karonga,mw,-10.182961654560117,33.89617756628974,83.84,49,53,13.98
142,chuy,uy,-55.76567254153848,-28.45414878489879,58.64,74,96,13.4
143,strezhevoy,ru,60.32311254261592,78.08138171168821,32.0,98,75,8.95
144,hirara,jp,22.613591917072412,125.93842678411193,78.8,100,75,10.29
145,tezu,in,29.748287366785206,98.61629784267268,88.38,43,5,3.56
146,quatre cocos,mu,-18.598380132128625,64.32809422006602,79.77,57,75,14.99
147,arona,es,25.424246081014516,-17.232883749821184,66.04,72,20,6.93
148,amapa,br,1.1088587874329932,-50.63378786218067,70.86,98,7,1.86
149,sao joao da barra,br,-23.354136077329244,-37.551468180244854,72.7,87,60,11.1
150,baruun-urt,mn,45.74095259441992,112.64919156596602,36.59,70,0,12.86
151,samdari,in,25.876487867909105,72.85469306959294,90.75,12,0,6.73
152,lebu,cl,-33.43747714947422,-99.02376934381334,45.99,87,3,15.5
153,severo-kurilsk,ru,32.24575394982523,165.21094948265574,41.95,71,89,6.62
154,necochea,ar,-48.2582391881318,-53.99621744438244,52.0,86,59,4.0
155,geraldton,au,-31.929404170231763,95.4349517014528,73.4,53,0,21.92
156,pishva,ir,35.233839434774055,51.75905515764401,64.22,51,0,11.41
157,bredasdorp,za,-39.85333165672655,20.71756862299759,62.6,77,75,5.82
158,port lincoln,au,-35.43700512478026,133.42839149704122,59.7,86,100,17.74
159,eureka,us,40.858348854988606,-126.45330297376375,49.06,82,2,5.01
160,walvis bay,na,-23.62672628714911,10.876658150702724,60.89,77,90,9.17
161,morondava,mg,-18.284623298601375,42.228556843171845,82.08,64,0,10.31
162,zamora,ec,-4.3064045343253525,-79.11782086680581,67.46,73,99,1.77
163,katsuura,jp,19.58896479004237,153.68669770651258,69.73,55,74,1.99
164,mago,ru,52.83341436323224,139.0114991774393,47.57,77,100,2.35
165,popondetta,pg,-9.83871148206265,148.25056243192483,86.79,59,42,6.06
166,slonim,by,53.35967798722365,25.337283437916625,46.51,86,79,11.43
167,flinders,au,-31.559210712685676,131.86375349003362,73.99,66,31,4.0
168,xining,cn,35.36693483058738,101.35105381391645,54.3,33,0,3.04
169,esperanza,ph,10.745455332670403,124.57744822308598,90.01,59,100,1.3
170,juegang,cn,33.17959936061777,121.94108608970515,65.41,60,60,17.9
171,akureyri,is,64.03467823768361,-17.25300973700672,30.2,86,90,4.7
172,hambantota,lk,5.208219916128115,82.91525257221656,93.2,59,40,17.22
173,medenychi,ua,49.53206748611214,23.795300141306228,44.29,100,37,4.47
174,ostrovnoy,ru,78.06899121500152,43.2359594183759,27.37,97,57,4.92
175,bambous virieux,mu,-41.58313723516979,82.48932801211572,79.84,57,75,14.99
176,kiama,au,-35.22521690278233,151.3406937658197,67.89,68,40,11.41
177,pedasi,pa,5.741219629731106,-79.3504579061967,78.39,86,65,10.51
178,jumla,np,33.09435557152031,84.4726043986484,66.6,27,0,6.44
179,nanortalik,gl,52.67164452234684,-44.82957942284463,33.98,81,30,36.22
180,los llanos de aridane,es,24.684475929713784,-23.60964893027446,66.2,68,20,8.05
181,biltine,td,17.28146610702106,22.44405314157018,81.63,15,89,12.66
182,chicama,pe,-8.003704875711946,-79.83126542013407,63.88,82,35,5.3
183,hovd,mn,43.691896953532904,103.95947390441529,44.47,51,0,3.24
184,ahipara,nz,-29.4380803280782,171.70483387506238,59.95,94,100,5.23
185,hobyo,so,3.958906699631072,49.86700386271525,83.39,70,1,7.74
186,palauig,ph,15.080156164172607,117.27112331744104,82.33,82,94,18.97
187,hervey bay,au,-24.326426834625437,155.4363519599221,78.26,57,40,14.99
188,byron bay,au,-28.072856890846552,157.8117780120911,69.6,77,90,14.99
189,carnarvon,au,-32.276376411598285,91.50460296052881,77.0,53,0,18.34
190,asfi,ma,33.238591592137396,-12.352043579707498,67.01,80,98,9.22
191,qena,eg,26.801000386334977,32.653905300727075,75.2,38,0,2.24
192,vung tau,vn,10.27806349263578,106.81541210383813,84.67,71,87,4.74
193,octeville,fr,49.859154187338106,-1.7718309357609314,55.0,93,26,6.93
194,san jeronimo,mx,15.330485782084125,-101.1366420981655,70.02,73,18,1.99
195,lompoc,us,26.6834626620887,-127.27916045133635,57.83,87,90,0.83
196,fortuna,us,39.70351672383819,-136.70633142927664,50.11,87,1,11.41
197,nikolskoye,ru,37.10468655726879,175.47842339395936,39.97,93,90,8.95
198,yumen,cn,42.83187574123784,97.57643718406354,63.68,23,0,15.05
199,carutapera,br,6.61421673287893,-42.5971672977106,77.23,84,36,6.82
200,huoqiu,cn,32.47745300135932,116.5613444046055,69.87,28,0,5.5
201,poum,nc,-19.002549327405575,157.8770454214196,77.07,76,0,10.07
202,la libertad,sv,10.129772143409099,-90.19813306966255,73.31,94,40,2.24
203,porto novo,cv,14.470956322960319,-35.17667374354858,78.8,78,20,5.82
204,gumdag,tm,38.68663149309029,54.41791817557191,61.48,38,0,17.09
205,ilulissat,gl,76.55683530599205,-48.161881748939635,28.4,86,100,9.17
206,lakhdenpokhya,ru,61.60616852651529,30.141661400743914,39.0,92,100,16.04
207,plettenberg bay,za,-35.92539708385114,23.84567011044615,69.87,41,0,1.12
208,umarkot,in,20.035087666035025,81.97961436615981,80.96,65,87,9.78
209,shakawe,bw,-18.83385622977734,21.892093425227074,81.23,21,0,13.35
210,bathsheba,bb,13.832782066731369,-56.01139436574417,82.4,78,40,13.87
211,ous,ru,61.29228746507951,61.07291526146341,27.52,95,100,9.31
212,gemena,cd,3.129565354961784,19.16474745833912,72.82,90,93,0.47
213,zeya,ru,54.98855858425165,128.26860051199702,29.71,92,97,6.38
214,okhotsk,ru,58.08791705000408,143.73822329890436,36.54,93,100,32.32
215,mingshui,cn,36.837691173587245,117.29735778432092,68.0,21,0,3.0
216,dingle,ie,49.22613682358934,-17.33351205378159,42.8,87,75,3.36
217,durban,za,-30.316952646019352,31.845655895902098,69.64,73,65,6.93
218,cap malheureux,mu,-17.272634284993714,58.79921400409384,79.0,65,36,8.01
219,longyearbyen,sj,89.70170378575011,21.676368478299196,24.8,73,75,8.05
220,sassandra,ci,1.569866237616111,-5.1035203785565955,75.18,92,35,3.74
221,hasaki,jp,27.475552121077797,153.22220556556078,70.59,73,75,5.82
222,vostok,ru,51.005957567265085,147.83391982720292,41.61,97,100,1.25
223,piacabucu,br,-11.445739663883927,-35.5101366569192,75.7,86,43,8.16
224,ushumun,ru,52.46249984918353,125.97281565152412,31.08,90,27,12.66
225,kindu,cd,-1.1339275905453832,26.246734674571655,70.84,97,93,1.43
226,praia da vitoria,pt,44.09891522193249,-22.99047173677326,61.5,59,75,16.31
227,rafai,cf,5.970585298297365,23.428228343101324,70.9,96,99,4.43
228,cherskiy,ru,73.43359430492197,158.53559036862322,21.6,94,0,11.63
229,souillac,mu,-25.982742652048046,60.827390567560656,80.6,57,75,14.99
230,placido de castro,br,-10.057209293785405,-66.40591044576308,73.9,95,100,0.63
231,lavrentiya,ru,76.26391176811998,-170.63549610669742,35.62,94,11,2.51
232,harper,lr,1.0196021966203972,-8.73015221376258,76.35,90,40,4.54
233,puerto narino,co,-2.8196297554674317,-69.91703207412564,73.4,100,90,2.24
234,saint-pierre,pm,35.164868171127836,-51.44890923211676,53.98,97,99,18.52
235,laguna,br,-36.06794556902577,-38.55940253979986,67.87,91,100,13.24
236,kenai,us,62.47716094335456,-152.73384645972666,24.06,68,1,6.93
237,bogalusa,us,30.862023673239833,-90.22756510255503,67.75,93,1,3.36
238,zaozerne,ua,45.278849851578485,33.0463644371377,62.71,67,57,10.96
239,joshimath,in,32.96634830759611,80.91793532887687,64.4,26,0,7.45
240,tilichiki,ru,59.669077282794575,166.35095197353172,36.97,90,100,7.07
241,kysyl-syr,ru,64.97967304619698,123.05948487702483,22.21,95,90,4.56
242,tazovskiy,ru,68.94192042803948,78.71222629771194,14.49,96,94,11.14
243,topolobampo,mx,25.098967215191877,-109.85995348545407,79.0,92,0,2.95
244,macomb,us,40.6412315882402,-90.8587938434379,49.69,100,90,5.82
245,ozernovskiy,ru,51.160655126500785,158.19501002568836,41.34,68,72,5.88
246,komatipoort,za,-24.76355180854742,31.773187427094683,73.0,71,0,5.44
247,kaihua,cn,23.930138287639977,105.21523951240573,64.27,47,6,11.34
248,yarkovo,ru,57.758483247878274,67.66117849806463,34.27,87,65,6.15
249,houma,us,25.758224798447884,-89.57857080478563,70.5,94,1,3.36
250,sidney,us,47.732825731836726,-104.32922488103014,58.51,100,88,7.09
251,tongliao,cn,44.290020783145025,120.9713739977264,45.1,47,77,12.21
252,lorengau,pg,10.490411711216211,146.81057594930815,83.21,75,89,2.44
253,bethel,us,54.028003600482094,-158.99944132774823,63.48,100,90,4.7
254,broome,au,-16.780522541231605,122.89430118264818,86.0,62,62,12.75
255,batemans bay,au,-42.63210521742033,157.62523989284097,64.71,86,59,5.01
256,san jose de guanipa,ve,8.930913271447253,-63.487603248305035,75.81,83,36,11.25
257,madisonville,us,37.23770190678526,-87.5387469705428,63.01,82,1,4.7
258,te anau,nz,-41.127307055669895,161.55413689199526,51.24,74,100,4.56
259,prabumulih,id,-3.637054776299763,104.59412663446346,84.78,65,100,4.43
260,bilibino,ru,71.5429763550992,165.37262499010814,19.53,95,27,2.66
261,jawad,in,24.778672818305722,74.81663623887664,89.82,31,11,4.34
262,navahrudak,by,54.06997628313724,26.0888358819183,45.18,89,88,14.07
263,malindi,ke,-3.8759681094679195,41.60496652593531,81.95,72,89,12.97
264,nantucket,us,38.693009699493786,-70.274119866995,61.0,93,20,4.7
265,beloha,mg,-27.897633691618005,40.47023227241269,85.15,31,0,9.06
266,cascais,pt,38.16766988165057,-9.852125101249186,56.25,93,20,2.24
267,ust-omchug,ru,61.63206187089233,148.960374862881,22.03,86,97,3.33
268,kahului,us,33.45949834009866,-151.55320759529496,74.03,61,1,3.36
269,thinadhoo,mv,1.3607488144211004,64.10068252214259,83.48,73,66,13.82
270,zheleznogorsk,ru,52.39213150523534,35.52181327661694,43.07,83,95,5.17
271,touros,br,3.8313807428244218,-29.686828785896466,75.2,94,90,6.93
272,katima mulilo,na,-17.548284703206704,24.341898106010035,83.41,29,0,13.2
273,tuatapere,nz,-49.933809718788126,164.84480580915522,60.01,57,100,1.01
274,patiala,in,30.340535016382603,76.2803975672025,90.03,15,5,0.92
275,alice springs,au,-23.59455593781064,136.05452614132315,98.6,17,40,26.4
276,sawtell,au,-30.958139286224608,154.84058672402955,69.49,73,90,11.41
277,pringsewu,id,-5.524110131346873,105.28342041810441,87.33,64,97,5.66
278,pemangkat,id,2.074571870723517,107.20482743735289,84.47,73,81,13.8
279,rio grande,br,-32.55509810910421,-50.5429453440577,62.01,91,98,7.0
280,northam,au,-28.581387343976722,120.3011688704076,74.52,29,1,8.05
281,matamoros,mx,25.300883684355867,-97.2170996807802,66.97,60,0,3.2
282,alta floresta,br,-9.980222819789617,-54.946359118556856,74.08,88,95,2.17
283,beringovskiy,ru,58.79168833482876,173.8288320432302,38.35,87,29,6.53
284,gatton,au,-27.264040570009605,152.4577062024906,72.19,61,75,12.75
285,kaseda,jp,30.206604206741602,129.99313505863108,70.21,83,75,4.7
286,meulaboh,id,-5.767861253512791,89.406411608763,86.81,61,98,7.14
287,moshi,tz,-2.903870998827202,37.254624108979044,71.6,68,40,6.93
288,fuling,cn,29.863516097083263,107.76106689274269,71.04,47,0,4.16
289,portland,au,-50.09185800904307,134.55583178196025,57.47,70,93,12.26
290,ancud,cl,-41.18247610111576,-81.27196951575996,37.24,93,15,4.7
291,fort nelson,ca,64.21640668772548,-121.19687769445477,23.0,53,90,6.93
292,buchanan,lr,2.0597933459511495,-11.380731411064318,76.55,87,97,2.53
293,dongsheng,cn,38.73986696388519,110.34937548109997,41.85,52,0,11.61
294,ossora,ru,59.208870481203206,162.90188593459914,41.58,86,100,5.53
295,pangnirtung,ca,64.80344274370529,-62.877764990242326,24.96,94,100,2.98
296,barcelos,br,-1.8555678200168302,-63.57059858974952,75.09,93,92,1.81
297,otterup,dk,55.63214097004831,10.421512213652647,55.4,100,75,10.29
298,acajutla,sv,7.2741729523927745,-91.59127250895511,70.0,100,79,5.12
